ID,Front Camera,Rear Camera,Camera,Type
631,8,12,0.0625,Sensible
662,8,12,0.0625,Sensible
740,8,12,0.0625,Sensible
5,7,12,0.0546875,Sensible
74,7,12,0.0546875,Sensible
89,7,12,0.0546875,Sensible
97,7,12,0.0546875,Sensible
104,7,12,0.0546875,Sensible
111,7,12,0.0546875,Sensible
118,7,12,0.0546875,Sensible
163,7,12,0.0546875,Sensible
207,7,12,0.0546875,Sensible
267,7,12,0.0546875,Sensible
270,7,12,0.0546875,Sensible
298,7,12,0.0546875,Sensible
312,7,12,0.0546875,Sensible
348,7,12,0.0546875,Sensible
357,7,12,0.0546875,Sensible
371,7,12,0.0546875,Sensible
385,7,12,0.0546875,Sensible
402,7,12,0.0546875,Sensible
441,7,12,0.0546875,Sensible
481,7,12,0.0546875,Sensible
488,7,12,0.0546875,Sensible
490,7,12,0.0546875,Sensible
518,7,12,0.0546875,Sensible
598,7,12,0.0546875,Sensible
601,7,12,0.0546875,Sensible
603,7,12,0.0546875,Sensible
625,7,12,0.0546875,Sensible
653,7,12,0.0546875,Sensible
689,7,12,0.0546875,Sensible
6,10,12,0.078125,Sensible
21,10,12,0.078125,Sensible
32,10,12,0.078125,Sensible
36,10,12,0.078125,Sensible
70,10,12,0.078125,Sensible
76,10,12,0.078125,Sensible
103,10,12,0.078125,Sensible
108,10,12,0.078125,Sensible
152,10,12,0.078125,Sensible
278,10,12,0.078125,Sensible
294,10,12,0.078125,Sensible
335,10,12,0.078125,Sensible
372,10,12,0.078125,Sensible
390,10,12,0.078125,Sensible
419,10,12,0.078125,Sensible
423,10,12,0.078125,Sensible
474,10,12,0.078125,Sensible
